check_id,table_name,expected_grain,check_type,status,failed_records,business_risk,owner,fix
CHK-001,campaign_performance.csv,daily channel grain,freshness,Pass,0,attribution window,Analytics,Add owner attestation
CHK-002,campaign_performance.csv,daily channel grain,nulls,Warn,27,attribution window,Analytics,Lock metric definition
CHK-003,campaign_performance.csv,daily channel grain,duplicate keys,Warn,22,attribution window,Growth,Add owner attestation
CHK-004,campaign_performance.csv,daily channel grain,definition drift,Warn,36,attribution window,Lifecycle,Review outlier before publishing
CHK-005,campaign_performance.csv,daily channel grain,outlier review,Warn,20,attribution window,Lifecycle,Reconcile source export
CHK-006,drip_experiments.csv,market x trigger,freshness,Warn,26,holdout assignment,Operations,Add owner attestation
CHK-007,drip_experiments.csv,market x trigger,nulls,Pass,8,holdout assignment,Growth,Backfill missing campaign tag
CHK-008,drip_experiments.csv,market x trigger,duplicate keys,Warn,21,holdout assignment,Lifecycle,Lock metric definition
CHK-009,drip_experiments.csv,market x trigger,definition drift,Pass,0,holdout assignment,Analytics,Backfill missing campaign tag
CHK-010,drip_experiments.csv,market x trigger,outlier review,Pass,7,holdout assignment,Lifecycle,Review outlier before publishing
CHK-011,field_marketing_tests.csv,market x placement,freshness,Pass,2,QR source match,Lifecycle,Lock metric definition
CHK-012,field_marketing_tests.csv,market x placement,nulls,Pass,10,QR source match,Growth,Add owner attestation
CHK-013,field_marketing_tests.csv,market x placement,duplicate keys,Pass,10,QR source match,Lifecycle,Backfill missing campaign tag
CHK-014,field_marketing_tests.csv,market x placement,definition drift,Warn,36,QR source match,Growth,Backfill missing campaign tag
CHK-015,field_marketing_tests.csv,market x placement,outlier review,Warn,32,QR source match,Lifecycle,Add owner attestation
CHK-016,markets.csv,market snapshot,freshness,Fail,41,driver hour coverage,Growth,Lock metric definition
CHK-017,markets.csv,market snapshot,nulls,Warn,23,driver hour coverage,Analytics,Backfill missing campaign tag
CHK-018,markets.csv,market snapshot,duplicate keys,Warn,39,driver hour coverage,Analytics,Reconcile source export
CHK-019,markets.csv,market snapshot,definition drift,Pass,12,driver hour coverage,Lifecycle,Lock metric definition
CHK-020,markets.csv,market snapshot,outlier review,Warn,14,driver hour coverage,Analytics,Review outlier before publishing
