event_id,event_date,entity_id,source_system,event_type,severity,owner_team,impacted_metric,records_impacted,note
EVT00001,2026-01-01,ENT001,Snowflake,release_review,Critical,Merchandising,event_completeness,20215,rideshare marketplace ROI signal 1
EVT00002,2026-01-02,ENT002,Ad platform,automation_run,Low,Operations,gross_margin,22824,rideshare marketplace ROI signal 2
EVT00003,2026-01-03,ENT003,Ad platform,definition_change,Critical,Operations,event_completeness,9863,rideshare marketplace ROI signal 3
EVT00004,2026-01-04,ENT004,GA4,release_review,High,Analytics,inventory_risk,5129,rideshare marketplace ROI signal 4
EVT00005,2026-01-05,ENT005,Ad platform,automation_run,Low,Analytics,conversion_rate,52523,rideshare marketplace ROI signal 5
EVT00006,2026-01-06,ENT006,GA4,automation_run,Low,Merchandising,event_completeness,29974,rideshare marketplace ROI signal 6
EVT00007,2026-01-07,ENT007,Marketplace API,refresh_delay,Medium,Data engineering,inventory_risk,17423,rideshare marketplace ROI signal 7
EVT00008,2026-01-08,ENT008,GA4,definition_change,Critical,Merchandising,repeat_purchase,57504,rideshare marketplace ROI signal 8
EVT00009,2026-01-09,ENT009,Warehouse feed,stakeholder_request,Medium,Marketing,event_completeness,5701,rideshare marketplace ROI signal 9
EVT00010,2026-01-10,ENT010,GA4,refresh_delay,High,Data engineering,inventory_risk,46939,rideshare marketplace ROI signal 10
EVT00011,2026-01-11,ENT011,Shopify,definition_change,Low,Merchandising,conversion_rate,36477,rideshare marketplace ROI signal 11
EVT00012,2026-01-12,ENT012,Marketplace API,definition_change,Critical,Merchandising,repeat_purchase,48171,rideshare marketplace ROI signal 12
EVT00013,2026-01-13,ENT013,Ad platform,release_review,Critical,Operations,roas,1455,rideshare marketplace ROI signal 13
EVT00014,2026-01-14,ENT014,Snowflake,stakeholder_request,Medium,Marketing,conversion_rate,52057,rideshare marketplace ROI signal 14
EVT00015,2026-01-15,ENT015,Shopify,qa_failure,Critical,Growth,event_completeness,3301,rideshare marketplace ROI signal 15
EVT00016,2026-01-16,ENT016,GA4,refresh_delay,Critical,Data engineering,repeat_purchase,32265,rideshare marketplace ROI signal 16
EVT00017,2026-01-17,ENT017,Marketplace API,qa_failure,Medium,Data engineering,roas,30996,rideshare marketplace ROI signal 17
EVT00018,2026-01-18,ENT018,Marketplace API,manual_override,Critical,Analytics,inventory_risk,7281,rideshare marketplace ROI signal 18
EVT00019,2026-01-19,ENT019,Ad platform,manual_override,Critical,Operations,conversion_rate,48013,rideshare marketplace ROI signal 19
EVT00020,2026-01-20,ENT020,GA4,qa_failure,Medium,Marketing,roas,28626,rideshare marketplace ROI signal 20
EVT00021,2026-01-21,ENT021,Marketplace API,manual_override,Medium,Marketing,gross_margin,35286,rideshare marketplace ROI signal 21
EVT00022,2026-01-22,ENT022,Ad platform,qa_failure,Medium,Growth,conversion_rate,16874,rideshare marketplace ROI signal 22
EVT00023,2026-01-23,ENT023,Snowflake,manual_override,Critical,Analytics,inventory_risk,42226,rideshare marketplace ROI signal 23
EVT00024,2026-01-24,ENT024,GA4,release_review,Medium,Analytics,event_completeness,2249,rideshare marketplace ROI signal 24
EVT00025,2026-01-25,ENT001,GA4,automation_run,High,Data engineering,roas,4665,rideshare marketplace ROI signal 25
EVT00026,2026-01-26,ENT002,Snowflake,definition_change,Critical,Merchandising,repeat_purchase,40650,rideshare marketplace ROI signal 26
EVT00027,2026-01-27,ENT003,Shopify,qa_failure,Medium,Operations,repeat_purchase,33726,rideshare marketplace ROI signal 27
EVT00028,2026-01-28,ENT004,Ad platform,qa_failure,Medium,Analytics,event_completeness,21034,rideshare marketplace ROI signal 28
EVT00029,2026-01-29,ENT005,GA4,automation_run,Low,Data engineering,repeat_purchase,35859,rideshare marketplace ROI signal 29
EVT00030,2026-01-30,ENT006,Warehouse feed,qa_failure,Critical,Merchandising,roas,29424,rideshare marketplace ROI signal 30
EVT00031,2026-01-31,ENT007,Warehouse feed,release_review,Medium,Operations,conversion_rate,18780,rideshare marketplace ROI signal 31
EVT00032,2026-02-01,ENT008,GA4,definition_change,Low,Merchandising,event_completeness,29074,rideshare marketplace ROI signal 32
EVT00033,2026-02-02,ENT009,Ad platform,definition_change,High,Operations,conversion_rate,36510,rideshare marketplace ROI signal 33
EVT00034,2026-02-03,ENT010,Snowflake,refresh_delay,Low,Operations,roas,48841,rideshare marketplace ROI signal 34
EVT00035,2026-02-04,ENT011,Marketplace API,qa_failure,Low,Marketing,conversion_rate,43697,rideshare marketplace ROI signal 35
EVT00036,2026-02-05,ENT012,Warehouse feed,manual_override,Critical,Growth,repeat_purchase,42137,rideshare marketplace ROI signal 36
EVT00037,2026-02-06,ENT013,GA4,qa_failure,High,Merchandising,conversion_rate,6850,rideshare marketplace ROI signal 37
EVT00038,2026-02-07,ENT014,Snowflake,definition_change,Low,Growth,roas,19735,rideshare marketplace ROI signal 38
EVT00039,2026-02-08,ENT015,Shopify,release_review,Low,Analytics,event_completeness,15877,rideshare marketplace ROI signal 39
EVT00040,2026-02-09,ENT016,GA4,definition_change,High,Marketing,event_completeness,21661,rideshare marketplace ROI signal 40
EVT00041,2026-02-10,ENT017,Warehouse feed,stakeholder_request,Low,Merchandising,inventory_risk,30860,rideshare marketplace ROI signal 41
EVT00042,2026-02-11,ENT018,Warehouse feed,automation_run,Low,Operations,repeat_purchase,4641,rideshare marketplace ROI signal 42
EVT00043,2026-02-12,ENT019,Ad platform,refresh_delay,High,Analytics,event_completeness,30023,rideshare marketplace ROI signal 43
EVT00044,2026-02-13,ENT020,Warehouse feed,definition_change,Critical,Analytics,repeat_purchase,47002,rideshare marketplace ROI signal 44
EVT00045,2026-02-14,ENT021,Shopify,refresh_delay,Critical,Merchandising,conversion_rate,38905,rideshare marketplace ROI signal 45
EVT00046,2026-02-15,ENT022,GA4,refresh_delay,Medium,Marketing,conversion_rate,48865,rideshare marketplace ROI signal 46
EVT00047,2026-02-16,ENT023,Shopify,definition_change,Low,Analytics,inventory_risk,32004,rideshare marketplace ROI signal 47
EVT00048,2026-02-17,ENT024,Ad platform,refresh_delay,High,Operations,repeat_purchase,42233,rideshare marketplace ROI signal 48
EVT00049,2026-02-18,ENT001,Shopify,qa_failure,Critical,Merchandising,inventory_risk,23557,rideshare marketplace ROI signal 49
EVT00050,2026-02-19,ENT002,Warehouse feed,refresh_delay,Low,Growth,inventory_risk,9931,rideshare marketplace ROI signal 50
